manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
G.SKILL,DDR5,데스크탑용,8000,CL40,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/046/020/img/20020046_1.jpg?shrink=130:130&_v=20230503172653
GEIL,DDR5,데스크탑용,5200,CL34,POLARIS,True,WHITE,False,https://img.danawa.com/prod_img/500000/640/490/img/18490640_1.jpg?shrink=130:130&_v=20221213151205
CORSAIR,DDR5,데스크탑용,6000,CL30,DOMINATOR TITANIUM,True,WHITE,False,https://img.danawa.com/prod_img/500000/416/443/img/28443416_1.jpg?shrink=130:130&_v=20230922111354
G.SKILL,DDR5,데스크탑용,5200,CL40,RIPJAWS S5 J,True,WHITE,False,https://img.danawa.com/prod_img/500000/232/103/img/54103232_1.jpg?shrink=130:130&_v=20240521130120
G.SKILL,DDR5,데스크탑용,7600,CL36,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/659/036/img/18036659_1.jpg?shrink=130:130&_v=20221019083650
G.SKILL,DDR4,데스크탑용,3600,CL16,TRIDENT Z ROYAL C,True,GOLD,False,https://img.danawa.com/prod_img/500000/208/596/img/9596208_1.jpg?shrink=130:130&_v=20200821131608
GEIL,DDR5,데스크탑용,6000,CL38,POLARIS,True,WHITE,False,https://img.danawa.com/prod_img/500000/965/539/img/19539965_1.jpg?shrink=130:130&_v=20230328171133
TEAMGROUP,DDR5,데스크탑용,6400,CL34,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/080/547/img/20547080_1.jpg?shrink=130:130&_v=20230614174413
G.SKILL,DDR4,데스크탑용,3600,CL14,TRIDENT Z ROYAL ELITE,True,SILVER,False,https://img.danawa.com/prod_img/500000/857/586/img/14586857_1.jpg?shrink=130:130&_v=20220623161542
TEAMGROUP,DDR5,데스크탑용,6400,CL34,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/934/567/img/19567934_1.jpg?shrink=130:130&_v=20230330155854
ESSENCORE,DDR5,데스크탑용,7600,CL36,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/272/989/img/37989272_1.jpg?shrink=130:130&_v=20240228112812
G.SKILL,DDR5,데스크탑용,5200,CL36,RIPJAWS S5 J,True,WHITE,False,https://img.danawa.com/prod_img/500000/563/272/img/16272563_1.jpg?shrink=130:130&_v=20231213160503
TEAMGROUP,DDR4,데스크탑용,3200,CL16,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/865/320/img/7320865_1.jpg?shrink=130:130&_v=20200821132109
ESSENCORE,DDR4,데스크탑용,3600,CL18,KLEVV CRAS X 서린,True,,True,https://img.danawa.com/prod_img/500000/311/885/img/27885311_1.jpg?shrink=130:130&_v=20230830102545
G.SKILL,DDR5,데스크탑용,7200,CL34,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/644/036/img/18036644_1.jpg?shrink=130:130&_v=20221019083236
TEAMGROUP,DDR5,데스크탑용,4800,CL40,ELITE PLUS 서린,False,BLACK,False,https://img.danawa.com/prod_img/500000/094/845/img/17845094_1.jpg?shrink=130:130&_v=20230116145132
GEIL,DDR4,데스크탑용,3200,CL22,PRISTINE,False,,False,https://img.danawa.com/prod_img/500000/073/859/img/10859073_1.jpg?shrink=130:130&_v=20200821131934
G.SKILL,DDR5,데스크탑용,5600,CL40,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/086/551/img/40551086_1.jpg?shrink=130:130&_v=20240311152342
ADATA,DDR5,데스크탑용,6000,CL30,XPG LANCER,True,WHITE,True,https://img.danawa.com/prod_img/500000/582/235/img/19235582_1.jpg?shrink=130:130&_v=20240314171707
G.SKILL,DDR4,데스크탑용,4000,CL14,TRIDENT Z ROYAL ELITE,True,GOLD,False,https://img.danawa.com/prod_img/500000/782/586/img/14586782_1.jpg?shrink=130:130&_v=20210628162351
GEIL,DDR4,데스크탑용,2666,CL19,PRISTINE,False,,False,https://img.danawa.com/prod_img/500000/329/168/img/6168329_1.jpg?shrink=130:130&_v=20210121144511
ESSENCORE,DDR5,데스크탑용,6800,CL34,KLEVV BOLT V 서린,True,,False,https://img.danawa.com/prod_img/500000/749/894/img/27894749_1.jpg?shrink=130:130&_v=20230830160010
G.SKILL,DDR5,데스크탑용,6400,CL32,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/599/036/img/18036599_1.jpg?shrink=130:130&_v=20221019080302
CORSAIR,DDR4,데스크탑용,3200,CL16,VENGEANCE RS,True,,True,https://img.danawa.com/prod_img/500000/147/098/img/15098147_1.jpg?shrink=130:130&_v=20210826153610
ADATA,DDR5,데스크탑용,6400,CL32,XPG LANCER BLADE,True,BLACK,True,https://img.danawa.com/prod_img/500000/819/785/img/27785819_1.jpg?shrink=130:130&_v=20240510105344
TEAMGROUP,DDR5,데스크탑용,6400,CL40,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/404/443/img/16443404_1.jpg?shrink=130:130&_v=20221214090033
G.SKILL,DDR4,데스크탑용,3600,CL14,TRIDENT Z ROYAL A,True,GOLD,False,https://img.danawa.com/prod_img/500000/904/389/img/17389904_1.jpg?shrink=130:130&_v=20220704175100
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 NEO J,False,,True,https://img.danawa.com/prod_img/500000/260/572/img/40572260_1.jpg?shrink=130:130&_v=20240311153307
TEAMGROUP,DDR4,데스크탑용,3200,CL16,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/400/320/img/7320400_1.jpg?shrink=130:130&_v=20211117134239
CORSAIR,DDR5,데스크탑용,5600,CL40,VENGEANCE,True,BLACK,False,https://img.danawa.com/prod_img/500000/998/107/img/19107998_1.jpg?shrink=130:130&_v=20230310133314
ADATA,DDR4,데스크탑용,3200,CL22,,False,,False,https://img.danawa.com/prod_img/500000/160/868/img/11868160_1.jpg?shrink=130:130&_v=20220512094659
GEIL,DDR5,데스크탑용,5200,CL34,POLARIS,True,WHITE,True,https://img.danawa.com/prod_img/500000/473/630/img/15630473_1.jpg?shrink=130:130&_v=20221214160715
G.SKILL,DDR4,데스크탑용,2666,CL19,AEGIS,False,,False,https://img.danawa.com/prod_img/500000/147/540/img/6540147_1.jpg?shrink=130:130&_v=20231113182440
마이크론,DDR5,데스크탑용,4800,CL40,CRUCIAL,False,,False,https://img.danawa.com/prod_img/500000/230/879/img/15879230_1.jpg?shrink=130:130&_v=20220217171951
ADATA,DDR5,데스크탑용,7200,CL34,XPG LANCER,True,BLACK,True,https://img.danawa.com/prod_img/500000/899/921/img/18921899_1.jpg?shrink=130:130&_v=20240510105424
ESSENCORE,DDR4,데스크탑용,3600,CL18,KLEVV BOLT X 서린,True,,False,https://img.danawa.com/prod_img/500000/344/867/img/27867344_1.jpg?shrink=130:130&_v=20230829164427
CORSAIR,DDR5,데스크탑용,6400,CL32,DOMINATOR TITANIUM,True,WHITE,False,https://img.danawa.com/prod_img/500000/091/444/img/28444091_1.jpg?shrink=130:130&_v=20230922124508
TEAMGROUP,DDR5,데스크탑용,6000,CL48,T-CREATE CLASSIC 서린,False,,False,https://img.danawa.com/prod_img/500000/433/567/img/19567433_1.jpg?shrink=130:130&_v=20240610151405
GEIL,DDR4,데스크탑용,3200,CL22,ORION GRAY,False,,True,https://img.danawa.com/prod_img/500000/036/151/img/13151036_1.jpg?shrink=130:130&_v=20220110143446
G.SKILL,DDR5,데스크탑용,5600,CL30,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/720/138/img/17138720_1.jpg?shrink=130:130&_v=20220526152120
ADATA,DDR5,데스크탑용,7200,CL34,XPG LANCER,True,WHITE,True,https://img.danawa.com/prod_img/500000/959/921/img/18921959_1.jpg?shrink=130:130&_v=20240510105254
ESSENCORE,DDR5,데스크탑용,8000,CL38,KLEVV CRAS XR5 서린,True,,True,https://img.danawa.com/prod_img/500000/598/892/img/27892598_1.jpg?shrink=130:130&_v=20231201164859
ESSENCORE,DDR5,데스크탑용,6400,CL32,KLEVV BOLT V 서린,True,,False,https://img.danawa.com/prod_img/500000/644/894/img/27894644_1.jpg?shrink=130:130&_v=20230830155633
G.SKILL,DDR5,데스크탑용,6000,CL30,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/666/000/img/17000666_1.jpg?shrink=130:130&_v=20220509130009
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/912/546/img/20546912_1.jpg?shrink=130:130&_v=20230614173915
CORSAIR,DDR4,데스크탑용,3600,CL18,VENGEANCE LPX,True,BLACK,False,https://img.danawa.com/prod_img/500000/237/406/img/13406237_1.jpg?shrink=130:130&_v=20220727104546
TEAMGROUP,DDR5,데스크탑용,5600,CL46,ELITE PLUS 서린,False,BLACK,False,https://img.danawa.com/prod_img/500000/413/768/img/18768413_1.jpg?shrink=130:130&_v=20230116152415
GEIL,DDR4,데스크탑용,3200,CL22,EVO SPEAR,False,,False,https://img.danawa.com/prod_img/500000/601/183/img/11183601_1.jpg?shrink=130:130&_v=20200821131934
G.SKILL,DDR5,데스크탑용,7800,CL36,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/807/419/img/18419807_1.jpg?shrink=130:130&_v=20221205091304
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/945/034/img/16034945_1.jpg?shrink=130:130&_v=20231030125931
CORSAIR,DDR4,데스크탑용,3200,CL16,VENGEANCE LPX,True,BLACK,False,https://img.danawa.com/prod_img/500000/038/401/img/13401038_1.jpg?shrink=130:130&_v=20220727104546
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 NEO J,False,,False,https://img.danawa.com/prod_img/500000/801/559/img/40559801_1.jpg?shrink=130:130&_v=20240311152715
TEAMGROUP,DDR5,데스크탑용,6400,CL32,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/987/546/img/20546987_1.jpg?shrink=130:130&_v=20230614174117
CORSAIR,DDR5,데스크탑용,6000,CL30,DOMINATOR TITANIUM,True,BLACK,False,https://img.danawa.com/prod_img/500000/654/442/img/28442654_1.jpg?shrink=130:130&_v=20230922110957
G.SKILL,DDR4,데스크탑용,3200,CL14,TRIDENT Z,True,,True,https://img.danawa.com/prod_img/500000/116/131/img/5131116_1.jpg?shrink=130:130&_v=20200821132110
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/702/193/img/16193702_1.jpg?shrink=130:130&_v=20220114151403
G.SKILL,DDR4,데스크탑용,3200,CL16,TRIDENT Z ROYAL,True,SILVER,False,https://img.danawa.com/prod_img/500000/408/030/img/7030408_1.jpg?shrink=130:130&_v=20200821132109
ADATA,DDR5,데스크탑용,5600,CL46,,False,,False,https://img.danawa.com/prod_img/500000/126/822/img/29822126_1.jpg?shrink=130:130&_v=20231107091508
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/022/567/img/19567022_1.jpg?shrink=130:130&_v=20230330160127
CORSAIR,DDR5,데스크탑용,6400,CL32,DOMINATOR TITANIUM,True,BLACK,False,https://img.danawa.com/prod_img/500000/896/443/img/28443896_1.jpg?shrink=130:130&_v=20230922123608
TEAMGROUP,DDR5,데스크탑용,5600,CL36,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/900/134/img/18134900_1.jpg?shrink=130:130&_v=20221214075624
TEAMGROUP,DDR5,데스크탑용,6400,CL32,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/819/546/img/20546819_1.jpg?shrink=130:130&_v=20230614173651
G.SKILL,DDR4,데스크탑용,3200,CL14,TRIDENT Z NEO,True,,False,https://img.danawa.com/prod_img/500000/907/470/img/9470907_1.jpg?shrink=130:130&_v=20200821131934
ESSENCORE,DDR4,데스크탑용,3600,CL18,KLEVV CRAS XR 서린,True,,True,https://img.danawa.com/prod_img/500000/863/885/img/27885863_1.jpg?shrink=130:130&_v=20230830104318
TEAMGROUP,DDR5,데스크탑용,4800,CL40,ELITE PLUS 서린,False,SILVER,False,https://img.danawa.com/prod_img/500000/579/767/img/18767579_1.jpg?shrink=130:130&_v=20230116145254
PATRIOT,DDR5,데스크탑용,6200,CL40,VIPER VENOM,True,,False,https://img.danawa.com/prod_img/500000/402/341/img/30341402_1.jpg?shrink=130:130&_v=20231206172819
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE XTREEM 서린,True,,False,https://img.danawa.com/prod_img/500000/365/076/img/32076365_1.jpg?shrink=130:130&_v=20240110104745
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 J,True,,False,https://img.danawa.com/prod_img/500000/424/192/img/16192424_1.jpg?shrink=130:130&_v=20220114143358
G.SKILL,DDR4,데스크탑용,3200,CL16,RIPJAWS V VK,True,,False,https://img.danawa.com/prod_img/500000/382/019/img/10019382_1.jpg?shrink=130:130&_v=20200821131934
G.SKILL,DDR4,데스크탑용,3200,CL16,RIPJAWS V VK,True,,False,https://img.danawa.com/prod_img/500000/593/571/img/4571593_1.jpg?shrink=130:130&_v=20200821132145
ADATA,DDR5,데스크탑용,6400,CL32,XPG LANCER BLADE,True,WHITE,True,https://img.danawa.com/prod_img/500000/843/785/img/27785843_1.jpg?shrink=130:130&_v=20240510104049
PATRIOT,DDR5,데스크탑용,6200,CL42,VIPER ELITE 5,True,,True,https://img.danawa.com/prod_img/500000/144/500/img/30500144_1.jpg?shrink=130:130&_v=20231213095920
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 NEO J,False,,False,https://img.danawa.com/prod_img/500000/061/932/img/17932061_1.jpg?shrink=130:130&_v=20221005102855
OLOY,DDR4,데스크탑용,3600,CL18,BLADE 올로이앤코,True,WHITE,True,https://img.danawa.com/prod_img/500000/295/723/img/13723295_1.jpg?shrink=130:130&_v=20240129154746
ESSENCORE,DDR4,데스크탑용,3200,CL16,KLEVV CRAS X 서린,True,,True,https://img.danawa.com/prod_img/500000/993/884/img/27884993_1.jpg?shrink=130:130&_v=20230830101702
TEAMGROUP,DDR5,데스크탑용,6000,CL30,T-FORCE DELTA,True,,True,https://img.danawa.com/prod_img/500000/999/134/img/18134999_1.jpg?shrink=130:130&_v=20221027164327
G.SKILL,DDR4,데스크탑용,3600,CL18,TRIDENT Z NEO,True,,False,https://img.danawa.com/prod_img/500000/479/044/img/11044479_1.jpg?shrink=130:130&_v=20200821131608
ESSENCORE,DDR5,데스크탑용,7200,CL36,KLEVV CRAS XR5 서린,True,,True,https://img.danawa.com/prod_img/500000/502/892/img/27892502_1.jpg?shrink=130:130&_v=20230830150401
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 J,True,,False,https://img.danawa.com/prod_img/500000/356/139/img/17139356_1.jpg?shrink=130:130&_v=20220526173807
G.SKILL,DDR5,데스크탑용,6000,CL40,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/144/339/img/20339144_1.jpg?shrink=130:130&_v=20230526175515
삼성전자,DDR4,데스크탑용,2133,,,False,,False,https://img.danawa.com/prod_img/500000/841/676/img/5676841_1.jpg?shrink=130:130&_v=20210812161438
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/209/001/img/17001209_1.jpg?shrink=130:130&_v=20220509133533
GEIL,DDR5,데스크탑용,6000,CL38,ORION V,True,,True,https://img.danawa.com/prod_img/500000/725/170/img/22170725_1.jpg?shrink=130:130&_v=20230727105113
PNY,DDR4,데스크탑용,2666,CL19,,False,,False,https://img.danawa.com/prod_img/500000/654/472/img/13472654_1.jpg?shrink=130:130&_v=20210226141106
G.SKILL,DDR4,데스크탑용,3200,CL16,TRIDENT ZKW,True,,False,https://img.danawa.com/prod_img/500000/367/589/img/4589367_1.jpg?shrink=130:130&_v=20200821132145
G.SKILL,DDR4,데스크탑용,3200,CL16,TRIDENT Z NEO,True,,False,https://img.danawa.com/prod_img/500000/016/391/img/10391016_1.jpg?shrink=130:130&_v=20200821131934
GEIL,DDR5,데스크탑용,5600,CL38,ORION V,True,,True,https://img.danawa.com/prod_img/500000/387/169/img/22169387_1.jpg?shrink=130:130&_v=20230727105113
GEIL,DDR4,데스크탑용,3600,CL18,ORION GRAY,True,,False,https://img.danawa.com/prod_img/500000/583/586/img/12586583_1.jpg?shrink=130:130&_v=20201113105043
TEAMGROUP,DDR5,데스크탑용,7200,CL34,T-CREATE EXPERT 서린,True,,False,https://img.danawa.com/prod_img/500000/176/547/img/20547176_1.jpg?shrink=130:130&_v=20231222170807
GEIL,DDR5,데스크탑용,5200,CL34,POLARIS GRAY,True,,False,https://img.danawa.com/prod_img/500000/574/490/img/18490574_1.jpg?shrink=130:130&_v=20221213150906
G.SKILL,DDR5,데스크탑용,7200,CL36,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/920/019/img/20019920_1.jpg?shrink=130:130&_v=20230503172725
G.SKILL,DDR5,데스크탑용,8000,CL40,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/085/020/img/20020085_1.jpg?shrink=130:130&_v=20230503172849
OLOY,DDR4,데스크탑용,3600,CL14,BLADE AL 올로이앤코,True,,True,https://img.danawa.com/prod_img/500000/570/745/img/16745570_1.jpg?shrink=130:130&_v=20240129154808
G.SKILL,DDR4,데스크탑용,3600,CL18,TRIDENT Z ROYAL,True,SILVER,False,https://img.danawa.com/prod_img/500000/186/030/img/7030186_1.jpg?shrink=130:130&_v=20200821131608
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5,True,WHITE,True,https://img.danawa.com/prod_img/500000/437/639/img/21639437_1.jpg?shrink=130:130&_v=20231114151453
G.SKILL,DDR5,데스크탑용,6000,CL36,TRIDENT Z5 J,True,SILVER,False,https://img.danawa.com/prod_img/500000/574/192/img/16192574_1.jpg?shrink=130:130&_v=20220114143908
ADATA,DDR5,데스크탑용,6000,CL30,XPG CASTER,True,,False,https://img.danawa.com/prod_img/500000/168/229/img/19229168_1.jpg?shrink=130:130&_v=20230306131623
G.SKILL,DDR5,데스크탑용,5600,CL30,RIPJAWS S5 J,True,WHITE,False,https://img.danawa.com/prod_img/500000/797/875/img/16875797_1.jpg?shrink=130:130&_v=20220613150814
OLOY,DDR4,데스크탑용,3600,CL18,BLADE 올로이앤코,True,BLACK,True,https://img.danawa.com/prod_img/500000/130/723/img/13723130_1.jpg?shrink=130:130&_v=20240129154910
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-FORCE DELTA TUF 서린,True,,True,https://img.danawa.com/prod_img/500000/491/597/img/18597491_1.jpg?shrink=130:130&_v=20221227092658
G.SKILL,DDR5,데스크탑용,6600,CL34,TRIDENT Z5,True,,True,https://img.danawa.com/prod_img/500000/948/000/img/17000948_1.jpg?shrink=130:130&_v=20220509133629
G.SKILL,DDR5,데스크탑용,6400,CL32,TRIDENT Z5 J,True,SILVER,False,https://img.danawa.com/prod_img/500000/947/272/img/16272947_1.jpg?shrink=130:130&_v=20220125142904
PATRIOT,DDR4,데스크탑용,3600,CL18,VIPER STEEL,True,,False,https://img.danawa.com/prod_img/500000/229/635/img/20635229_1.jpg?shrink=130:130&_v=20230621162950
G.SKILL,DDR5,데스크탑용,7600,CL36,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/662/036/img/18036662_1.jpg?shrink=130:130&_v=20221019083809
G.SKILL,DDR5,데스크탑용,6800,CL34,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/605/036/img/18036605_1.jpg?shrink=130:130&_v=20221019081153
G.SKILL,DDR5,데스크탑용,6000,CL40,RIPJAWS S5 J,True,BLACK,False,https://img.danawa.com/prod_img/500000/126/339/img/20339126_1.jpg?shrink=130:130&_v=20230526175247
G.SKILL,DDR4,데스크탑용,3600,CL17,TRIDENT Z,True,,False,https://img.danawa.com/prod_img/500000/401/848/img/4848401_1.jpg?shrink=130:130&_v=20200821131641
GEIL,DDR5,데스크탑용,6000,CL38,POLARIS GRAY,True,,False,https://img.danawa.com/prod_img/500000/599/539/img/19539599_1.jpg?shrink=130:130&_v=20230328170210
CORSAIR,DDR4,데스크탑용,3200,CL16,VENGEANCE LPX,True,BLACK,False,https://img.danawa.com/prod_img/500000/149/401/img/13401149_1.jpg?shrink=130:130&_v=20220727104546
TEAMGROUP,DDR5,데스크탑용,6400,CL34,T-FORCE VULCAN 서린,True,BLACK,False,https://img.danawa.com/prod_img/500000/332/547/img/20547332_1.jpg?shrink=130:130&_v=20231030130231
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/275/547/img/20547275_1.jpg?shrink=130:130&_v=20240503173742
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/464/875/img/16875464_1.jpg?shrink=130:130&_v=20220420162338
GEIL,DDR5,데스크탑용,5200,CL34,POLARIS GRAY,True,,True,https://img.danawa.com/prod_img/500000/422/630/img/15630422_1.jpg?shrink=130:130&_v=20221214160702
PNY,DDR5,데스크탑용,6000,CL40,XLR8 MAKO 마이크로닉스,True,,True,https://img.danawa.com/prod_img/500000/984/673/img/19673984_1.jpg?shrink=130:130&_v=20230406181522
PNY,DDR5,데스크탑용,6400,CL32,XLR8 MAKO 마이크로닉스,True,WHITE,True,https://img.danawa.com/prod_img/500000/586/247/img/30247586_1.jpg?shrink=130:130&_v=20231130090249
GEIL,DDR4,데스크탑용,3600,CL18,ORION GRAY,True,,True,https://img.danawa.com/prod_img/500000/017/122/img/13122017_1.jpg?shrink=130:130&_v=20221026094158
TEAMGROUP,DDR4,데스크탑용,3200,CL16,T-FORCE DELTA 서린,True,,True,https://img.danawa.com/prod_img/500000/455/876/img/12876455_1.jpg?shrink=130:130&_v=20201218155957
TEAMGROUP,DDR4,데스크탑용,3600,CL14,T-CREATE EXPERT OC10L,False,,False,https://img.danawa.com/prod_img/500000/147/803/img/15803147_1.jpg?shrink=130:130&_v=20211221133325
CORSAIR,DDR4,데스크탑용,3600,CL18,VENGEANCE PRO SL,True,BLACK,True,https://img.danawa.com/prod_img/500000/459/244/img/13244459_1.jpg?shrink=130:130&_v=20210521113037
PATRIOT,DDR5,데스크탑용,6200,CL40,VIPER VENOM,True,,True,https://img.danawa.com/prod_img/500000/029/351/img/30351029_1.jpg?shrink=130:130&_v=20231207094956
GEIL,DDR5,데스크탑용,7200,CL36,EVO V,True,WHITE,True,https://img.danawa.com/prod_img/500000/791/176/img/19176791_1.jpg?shrink=130:130&_v=20230228163817
G.SKILL,DDR5,데스크탑용,5600,CL30,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/083/139/img/17139083_1.jpg?shrink=130:130&_v=20220526152703
G.SKILL,DDR5,데스크탑용,7200,CL36,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/989/019/img/20019989_1.jpg?shrink=130:130&_v=20230503172715
G.SKILL,DDR5,데스크탑용,6400,CL32,TRIDENT Z5 J,True,,False,https://img.danawa.com/prod_img/500000/770/272/img/16272770_1.jpg?shrink=130:130&_v=20220125142257
마이크론,DDR4,데스크탑용,4000,CL18,CRUCIAL BALLISTIX MAX,False,BLACK,True,https://img.danawa.com/prod_img/500000/101/216/img/15216101_1.jpg?shrink=130:130&_v=20211215175803
GEIL,DDR4,데스크탑용,3200,CL16,ORION GRAY,True,,True,https://img.danawa.com/prod_img/500000/885/121/img/13121885_1.jpg?shrink=130:130&_v=20210113141947
ADATA,DDR5,데스크탑용,6000,CL30,XPG LANCER BLADE,True,BLACK,True,https://img.danawa.com/prod_img/500000/512/365/img/46365512_1.jpg?shrink=130:130&_v=20240408130722
G.SKILL,DDR5,데스크탑용,5600,CL40,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/087/339/img/20339087_1.jpg?shrink=130:130&_v=20230526174940
TEAMGROUP,DDR4,데스크탑용,3200,CL16,T-FORCE DELTA 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/503/876/img/12876503_1.jpg?shrink=130:130&_v=20201218160911
GEIL,DDR4,데스크탑용,2400,CL17,PRISTINE,False,,False,https://img.danawa.com/prod_img/500000/834/528/img/5528834_1.jpg?shrink=130:130&_v=20200821133027
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 J,True,SILVER,False,https://img.danawa.com/prod_img/500000/398/139/img/17139398_1.jpg?shrink=130:130&_v=20220526153518
TEAMGROUP,DDR5,데스크탑용,6000,CL38,T-FORCE VULCAN 서린,True,BLACK,False,https://img.danawa.com/prod_img/500000/178/613/img/18613178_1.jpg?shrink=130:130&_v=20231030130412
G.SKILL,DDR5,데스크탑용,7800,CL36,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/804/419/img/18419804_1.jpg?shrink=130:130&_v=20221205091222
G.SKILL,DDR5,데스크탑용,5600,CL30,TRIDENT Z5 J,True,SILVER,True,https://img.danawa.com/prod_img/500000/173/139/img/17139173_1.jpg?shrink=130:130&_v=20220526152451
TEAMGROUP,DDR5,데스크탑용,8000,CL38,T-FORCE DELTA,True,WHITE,True,https://img.danawa.com/prod_img/500000/287/547/img/20547287_1.jpg?shrink=130:130&_v=20240430165249
G.SKILL,DDR5,데스크탑용,6800,CL34,TRIDENT Z5 J,True,,True,https://img.danawa.com/prod_img/500000/608/036/img/18036608_1.jpg?shrink=130:130&_v=20221019081412
PNY,DDR5,데스크탑용,6000,CL40,XLR8 MAKO 마이크로닉스,True,WHITE,True,https://img.danawa.com/prod_img/500000/734/507/img/27507734_1.jpg?shrink=130:130&_v=20230809174105
G.SKILL,DDR4,데스크탑용,3600,CL14,TRIDENT Z A,True,,True,https://img.danawa.com/prod_img/500000/595/389/img/17389595_1.jpg?shrink=130:130&_v=20220714160010
TEAMGROUP,DDR5,데스크탑용,7200,CL34,T-CREATE EXPERT 서린,True,WHITE,False,https://img.danawa.com/prod_img/500000/435/424/img/31424435_1.jpg?shrink=130:130&_v=20231222095025
G.SKILL,DDR5,데스크탑용,6600,CL34,TRIDENT Z5,True,SILVER,True,https://img.danawa.com/prod_img/500000/053/001/img/17001053_1.jpg?shrink=130:130&_v=20220509133416
G.SKILL,DDR4,데스크탑용,3600,CL14,TRIDENT Z NEO NA,True,,False,https://img.danawa.com/prod_img/500000/372/765/img/14765372_1.jpg?shrink=130:130&_v=20210716144042
ESSENCORE,DDR5,데스크탑용,7600,CL36,KLEVV CRAS V 서린,True,,True,https://img.danawa.com/prod_img/500000/853/886/img/27886853_1.jpg?shrink=130:130&_v=20230830111930
TEAMGROUP,DDR4,데스크탑용,3200,CL20,T-FORCE ZEUS,False,,False,https://img.danawa.com/prod_img/500000/160/775/img/12775160_1.jpg?shrink=130:130&_v=20201126164139
GEIL,DDR4,데스크탑용,3200,CL22,EVO X II AMD GRAY,False,,True,https://img.danawa.com/prod_img/500000/699/277/img/11277699_1.jpg?shrink=130:130&_v=20200821131934
G.SKILL,DDR4,데스크탑용,3200,CL16,TRIDENT Z ROYAL,True,GOLD,False,https://img.danawa.com/prod_img/500000/231/351/img/7351231_1.jpg?shrink=130:130&_v=20200821132109
CORSAIR,DDR4,데스크탑용,3000,CL15,DOMINATOR PLATINUM,True,,True,https://img.danawa.com/prod_img/500000/643/308/img/7308643_1.jpg?shrink=130:130&_v=20200821132322
