manufacturer,spec,usecase,speed,ramtiming,model,xmp,color,rgb,image_url
실리콘파워,DDR4,데스크탑용,3200,CL16,XPOWER TURBINE,False,,False,https://img.danawa.com/prod_img/500000/688/717/img/40717688_1.jpg?shrink=130:130&_v=20240312132753
G.SKILL,DDR5,데스크탑용,6000,CL30,TRIDENT Z5 NEO J,False,WHITE,True,https://img.danawa.com/prod_img/500000/827/578/img/40578827_1.jpg?shrink=130:130&_v=20240311153925
G.SKILL,DDR5,데스크탑용,6000,CL30,FLARE X5 J,False,,False,https://img.danawa.com/prod_img/500000/765/022/img/40022765_1.jpg?shrink=130:130&_v=20240311143346
G.SKILL,DDR5,데스크탑용,5200,CL36,FLARE X5 J,False,,False,https://img.danawa.com/prod_img/500000/612/022/img/40022612_1.jpg?shrink=130:130&_v=20240311143118
마이크론,DDR5,데스크탑용,6000,CL48,CRUCIAL PRO 아스크텍,True,,False,https://img.danawa.com/prod_img/500000/816/767/img/39767816_1.jpg?shrink=130:130&_v=20240610151154
마이크론,DDR5,데스크탑용,6000,CL36,CRUCIAL PRO OVERCLOCKING 아스크텍,True,,False,https://img.danawa.com/prod_img/500000/693/767/img/39767693_1.jpg?shrink=130:130&_v=20240306162510
마이크론,DDR5,데스크탑용,6000,CL36,CRUCIAL PRO OVERCLOCKING 아스크텍,True,,False,https://img.danawa.com/prod_img/500000/633/767/img/39767633_1.jpg?shrink=130:130&_v=20240306155613
OLOY,DDR5,데스크탑용,7000,CL36,BLADE MIRROR 올로이앤코,False,,True,https://img.danawa.com/prod_img/500000/669/341/img/39341669_1.jpg?shrink=130:130&_v=20240306110547
마이크론,DDR5,데스크탑용,6000,CL36,CRUCIAL PRO OVERCLOCKING 대원씨티에스,True,,False,https://img.danawa.com/prod_img/500000/770/102/img/39102770_1.jpg?shrink=130:130&_v=20240306155439
CORSAIR,DDR5,데스크탑용,6000,CL36,VENGEANCE,True,,True,https://img.danawa.com/prod_img/500000/229/455/img/38455229_1.jpg?shrink=130:130&_v=20240229151843
ESSENCORE,DDR5,데스크탑용,7600,CL36,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/251/989/img/37989251_1.jpg?shrink=130:130&_v=20240228112643
ESSENCORE,DDR5,데스크탑용,7200,CL34,KLEVV CRAS V 서린,True,WHITE,True,https://img.danawa.com/prod_img/500000/197/989/img/37989197_1.jpg?shrink=130:130&_v=20240228112247
OLOY,DDR5,데스크탑용,5600,CL46,LIGHTING,True,,False,https://img.danawa.com/prod_img/500000/296/201/img/36201296_1.jpg?shrink=130:130&_v=20240220142845
V-COLOR,DDR5,데스크탑용,6000,CL36,MANTA XFINITY,True,WHITE,True,https://img.danawa.com/prod_img/500000/759/386/img/33386759_1.jpg?shrink=130:130&_v=20240124122932
V-COLOR,DDR5,데스크탑용,6000,CL36,MANTA XFINITY,True,BLACK,True,https://img.danawa.com/prod_img/500000/756/386/img/33386756_1.jpg?shrink=130:130&_v=20240124122906
